question_id,role_tag,difficulty_level,subtopic,question_text,ideal_answer,source_ref
AI_0001,AI ML Engineer,Easy,Introduction,What is Machine Learning?,"ML is a subset of AI where algorithms learn patterns from data to make predictions without being explicitly programmed. AI is the broader field of mimicking human intelligence, while Data Science focuses on extracting insights from data using statistics and ML. Keywords: Subset of AI, Explicit Programming, Pattern Recognition, Predictive Modeling, Data Insights.",
DS_0001,Data Scientist,Easy,Statistics,What is p-value in hypothesis testing?,"A p-value is the probability of obtaining results as extreme as the observed data, assuming the Null Hypothesis (H_0) is true. It quantifies the strength of evidence against the null; a low p-value (typically < 0.05) suggests that the observed effect is Statistically Significant and unlikely to be due to Random Chance. Keywords: Null Hypothesis, Significance Level (alpha), Statistical Significance, Random Variation, Evidence against H_0",
AI_0002,AI ML Engineer,Easy,Model Training,Define Learning Rate ?,"A hyperparameter that controls the step size at which the model weights are updated with respect to the loss gradient. Keywords: Step Size, Gradient Descent, Convergence, Overshooting, Minimum.",
AI_0003,AI ML Engineer,Easy,Model Evaluation,What is overfitting and underfitting?,"Underfitting occurs when a model lacks the parameter flexibility to capture the underlying pattern. Overfitting occurs when a model is too flexible and ""memorizes"" the training data, failing to generalize to the test set. Keywords: Model Complexity, Generalization, Memorization, Trainable Parameters.",
AI_0004,AI ML Engineer,Easy,Neural Networks,List different activation functions ?,"Mathematical functions that determine the output of a neuron based on inputs, introducing non-linearity to the network. Keywords: Linear, Binary Threshold, Sigmoid, Tanh, ReLU, Stochastic Binary.",
AI_0005,AI ML Engineer,Easy,Data Preprocessing,What is data normalization and why do we need it?,"A preprocessing step that rescales feature values to a common range to prevent high-magnitude features from dominating the cost function. It ensures faster convergence during backpropagation. Keywords: Rescaling, Mean, Standard Deviation, Convergence, Gradient Descent, Feature Scaling.",
DS_0002,Data Scientist,Easy,Machine Learning,What are the assumptions required for Linear Regression?,"Linear Regression is a parametric model that requires five key assumptions: 1. Linearity: The relationship between X and Y is linear. 2. Independence: Observations/errors are independent of each other. 3. Homoscedasticity: The variance of residual errors is constant across all levels of the independent variables. 4. Normality: The residuals (errors) are normally distributed. 5. No Multicollinearity: Independent variables are not highly correlated with each other. Keywords: Linearity, Independence (No Autocorrelation), Homoscedasticity, Normality of Residuals, Multicollinearity.",
AI_0006 ,AI ML Engineer,Medium,Neural Networks,Why is ReLU better than Sigmoid in Neural Networks?,"ReLU is computationally efficient (simple threshold), avoids the Vanishing Gradient problem (gradient is 1 for positive values), and induces sparsity (neurons output 0 for negative inputs). Keywords: Vanishing Gradient, Sparsity, Computationally Efficient, Saturation, Non-linear.",
DS_0003,Data Scientist,Easy,General Data Science,Differentiate between Data Analytics and Data Science.,"Data Analytics focuses on processing and performing statistical analysis of existing datasets to discover insights and solve immediate problems (Descriptive/Diagnostic). Data Science is a broader field that involves designing new processes for data modeling using Machine Learning, Predictive Modeling, and Algorithm development to forecast future trends (Predictive/Prescriptive). Keywords: Descriptive vs. Predictive, Machine Learning, Statistical Inference, Business Intelligence (BI), Pattern Recognition, Forecasting.",
AI_0007,AI ML Engineer,Medium,Data Preprocessing,What is an imbalanced dataset? How to deal with it?,"Imbalanced datasets have unequal class proportions (e.g., 98% vs 2%). Handle them by Resampling (Oversampling minority/Undersampling majority), Data Augmentation, and using metrics like F1-Score instead of Accuracy. Keywords: Oversampling, Undersampling, Augmentation, Precision, Recall, F1-Score.",
AI_0008,AI ML Engineer,Medium,Data Preprocessing,When to use Label Encoding vs One Hot Encoding?,"One-Hot Encoding is used for nominal data (no order) with few categories to prevent bias. Label Encoding is used for ordinal data (inherent rank) or high-cardinality features to save memory. Keywords: Nominal vs Ordinal, Cardinality, Dimensionality, Sparse Matrix.",
DS_0004,Data Scientist,Easy,Machine Learning,What is a Confusion Matrix?,"A Confusion Matrix is an NXN table used to evaluate the performance of a classification model. It compares the Actual values with the Predicted values across four categories: True Positives (TP), True Negatives (TN), False Positives (FP/Type I Error), and False Negatives (FN/Type II Error). It is essential for calculating metrics beyond accuracy, such as Precision, Recall, and the F1-Score. Keywords: True Positives, False Positives (Type I), True Negatives, False Negatives (Type II), Accuracy, Precision, Recall.",
